"filename", "language", "JavaScript", "HTTP", "JSON", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/layout/navbar/SubNavbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 45, 0, 10, 55
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/list-slider/ListSlider.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 10, 53
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/list-slider/ListSlider.module.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 7, 48
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/list-slider/list-card/ListCard.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/list-slider/list-card/ListCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 51, 0, 7, 58
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/offers/Offers.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/offers/Offers.module.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 2, 10
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/side-navbar/SideNav.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/side-navbar/SideNav.module.scss", "SCSS", 0, 0, 0, 0, 0, 25, 0, 5, 30
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/user-dropdown/UserDropdown.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/user-dropdown/UserDropdown.module.scss", "SCSS", 0, 0, 0, 0, 0, 34, 5, 6, 45
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/components/verified-account-text/VerifiedAccountText.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/const/productsMock.json", "JSON", 0, 0, 64, 0, 0, 0, 0, 1, 65
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/const/status-codes.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 26
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/context/AuthProvider.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 19, 113
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/context/EmailTokenProvider.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/context/ErrorProvider.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/context/ProductsProvider.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/context/SubnavProvider.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 4, 14
